#{"t_start": 1744768078.8782742, "env_id": "merge-v0"}
r,l,t
10.139875,12,37.966406
4.747054,6,38.027096
4.756764,6,38.090768
4.005556,5,38.144946
10.139875,12,38.265986
5.683835,7,38.337777
3.914788,5,38.388526
10.167653,12,38.508617
5.748121,7,38.579543
10.139875,12,38.700359
5.788987,7,38.770651
3.984815,5,38.820712
10.19543,12,38.940134
3.04879,4,38.980583
5.683835,7,39.050821
3.111111,4,39.091253
10.139875,12,39.211749
10.646709,12,39.331812
4.747054,6,39.392253
5.748121,7,39.463582
11.027778,12,39.583429
10.139875,12,39.703572
3.914788,5,39.754278
11.0,12,39.872976
3.111111,4,39.913134
6.53259,8,39.993149
4.027778,5,40.043371
3.01386,4,40.084157
10.139875,12,40.204139
5.761209,7,40.275253
5.780723,7,40.345855
3.87688,5,40.397039
11.0,12,40.516753
3.068148,4,40.557437
3.166667,4,40.597948
4.816765,6,40.657569
10.139875,12,40.778165
6.580387,8,40.859727
10.139875,12,40.980255
10.167653,12,41.100159
4.902749,6,41.159325
8.507836,11,41.268733
5.706925,7,41.341208
4.790258,6,41.401525
4.756764,6,41.462089
6.663721,8,41.544115
4.831454,6,41.60365
3.04879,4,41.644723
3.906057,5,41.695467
3.927876,5,41.746199
3.04879,4,41.7869
5.838889,7,41.858725
6.571325,8,41.943686
5.838889,7,42.016012
3.914788,5,42.067397
5.733431,7,42.138957
4.04037,5,42.188794
10.139875,12,42.308286
3.194444,4,42.349318
5.861111,7,42.420049
5.76386,7,42.490715
5.701209,7,42.56272
5.694982,7,42.634068
5.803676,7,42.70569
3.04879,4,42.746431
3.965457,5,42.797426
3.068148,4,42.838114
8.123009,10,42.937989
4.005556,5,42.98815
5.803054,7,43.059453
3.914788,5,43.110343
3.830387,5,43.16118
5.719721,7,43.232016
3.984815,5,43.282166
3.850501,5,43.333835
3.068148,4,43.374344
4.747054,6,43.435282
10.927783,12,43.554741
3.068148,4,43.595188
5.79879,7,43.665931
5.79879,7,43.736777
8.205895,10,43.835485
6.571325,8,43.917789
4.831454,6,43.977726
4.803054,6,44.037703
4.85861,6,44.097721
5.748121,7,44.16863
4.830387,6,44.230412
10.139875,12,44.351544
3.830387,5,44.402114
2.998121,4,44.443193
5.780723,7,44.514465
6.609226,8,44.595405
4.737991,6,44.656733
10.139875,12,44.778136
6.705654,8,44.859784
5.818148,7,44.930123
11.0,12,45.047442
10.139875,12,45.167111
11.0,12,45.283276
3.849102,5,45.332488
9.956871,12,45.450581
10.19543,12,45.567777
8.089406,10,45.667614
4.027778,5,45.722352
5.673431,7,45.79596
6.617875,8,45.87732
4.747054,6,45.93699
5.748121,7,46.006695
3.830387,5,46.056678
5.747054,7,46.126391
3.984815,5,46.175427
5.916667,7,46.244063
4.083333,5,46.29317
4.847193,6,46.352532
3.030723,4,46.392607
11.513741,14,46.534802
3.030723,4,46.574755
3.04879,4,46.614178
10.139875,12,46.734329
10.563375,12,46.854664
3.984815,5,46.903828
4.747054,6,46.964046
5.719721,7,47.033566
4.756764,6,47.092967
3.830387,5,47.142782
10.591153,12,47.263116
5.76386,7,47.332099
5.761209,7,47.401568
6.571325,8,47.481764
11.0,12,47.599279
4.845814,6,47.658745
4.767168,6,47.717481
4.778315,6,47.776922
5.8085,7,47.844923
3.984815,5,47.893986
5.775899,7,47.962878
3.930526,5,48.011859
6.600501,8,48.091966
3.821325,5,48.142063
6.611648,8,48.222747
3.068148,4,48.262617
10.167653,12,48.381338
4.747054,6,48.440927
4.767168,6,48.499355
3.830387,5,48.54873
10.563375,12,48.667592
5.818148,7,48.736205
10.149369,12,48.855346
4.747054,6,48.914644
3.042389,4,48.954316
6.580387,8,49.034056
5.706925,7,49.103114
10.785988,14,49.242595
5.79879,7,49.311172
10.139875,12,49.428765
4.005556,5,49.480745
5.706925,7,49.556651
6.571325,8,49.638331
7.713715,10,49.737151
10.167653,12,49.856505
5.683835,7,49.926139
10.563375,12,50.045882
5.719721,7,50.115361
3.030723,4,50.155626
5.706925,7,50.224564
11.0,12,50.340392
4.778315,6,50.399305
4.767168,6,50.45789
5.79879,7,50.527157
10.167653,12,50.645562
4.803054,6,50.704885
3.984815,5,50.754214
3.076568,4,50.793782
2.998121,4,50.833933
4.778315,6,50.893396
3.965457,5,50.942534
5.733431,7,51.011029
6.600501,8,51.091768
5.79879,7,51.162065
4.784542,6,51.221088
3.076568,4,51.260602
2.983431,4,51.300632
5.818148,7,51.371731
10.139875,12,51.489349
3.01386,4,51.529096
7.632672,10,51.628645
10.139875,12,51.747934
5.88701,7,51.816298
4.033333,5,51.864991
4.756764,6,51.923904
4.778315,6,51.983164
6.558983,8,52.06281
10.139875,12,52.180294
3.821325,5,52.230352
4.831454,6,52.288976
3.947389,5,52.338515
10.139875,12,52.45723
10.139875,12,52.576359
4.767168,6,52.635203
5.706925,7,52.704634
3.886388,5,52.754688
3.886388,5,52.804465
3.04879,4,52.844162
